epoch,split,length_bucket,correct,total,sequence_accuracy
88,val,20-29,0,68,0.0
88,val,30-39,0,21,0.0
88,val,40-49,0,5,0.0
88,val,50-59,0,3,0.0
88,val,60-69,0,2,0.0
88,val,70-79,0,1,0.0
89,val,0-9,1294,2553,0.5068546807677242
89,val,10-19,448,795,0.5635220125786163
89,val,100-109,0,1,0.0
89,val,20-29,0,68,0.0
89,val,30-39,0,21,0.0
89,val,40-49,0,5,0.0
89,val,50-59,0,3,0.0
89,val,60-69,0,2,0.0
89,val,70-79,0,1,0.0
90,val,0-9,1300,2553,0.509204857030944
90,val,10-19,445,795,0.559748427672956
90,val,100-109,0,1,0.0
