epoch,split,length_bucket,correct,total,sequence_accuracy
8,val,30-39,0,107,0.0
8,val,40-49,0,43,0.0
8,val,50-59,0,13,0.0
8,val,60-69,0,7,0.0
8,val,70-79,0,1,0.0
9,val,0-9,2260,12659,0.17852910972430683
9,val,10-19,581,4083,0.1422973303943179
9,val,20-29,0,335,0.0
9,val,30-39,0,107,0.0
9,val,40-49,0,43,0.0
9,val,50-59,0,13,0.0
9,val,60-69,0,7,0.0
9,val,70-79,0,1,0.0
10,val,0-9,2575,12659,0.20341259183189825
10,val,10-19,738,4083,0.1807494489346069
10,val,20-29,0,335,0.0
10,val,30-39,0,107,0.0
10,val,40-49,0,43,0.0
10,val,50-59,0,13,0.0
10,val,60-69,0,7,0.0
10,val,70-79,0,1,0.0
11,val,0-9,2829,12659,0.22347736788055927
11,val,10-19,786,4083,0.19250551065393093
11,val,20-29,0,335,0.0
11,val,30-39,0,107,0.0
11,val,40-49,0,43,0.0
11,val,50-59,0,13,0.0
11,val,60-69,0,7,0.0
11,val,70-79,0,1,0.0
12,val,0-9,3214,12659,0.2538905126787266
12,val,10-19,917,4083,0.2245897624295861
12,val,20-29,0,335,0.0
12,val,30-39,0,107,0.0
12,val,40-49,0,43,0.0
12,val,50-59,0,13,0.0
12,val,60-69,0,7,0.0
12,val,70-79,0,1,0.0
13,val,0-9,3507,12659,0.27703610079785135
13,val,10-19,1003,4083,0.24565270634337497
13,val,20-29,0,335,0.0
13,val,30-39,0,107,0.0
13,val,40-49,0,43,0.0
13,val,50-59,0,13,0.0
13,val,60-69,0,7,0.0
13,val,70-79,0,1,0.0
14,val,0-9,3876,12659,0.30618532269531556
14,val,10-19,1136,4083,0.27822679402400197
14,val,20-29,0,335,0.0
14,val,30-39,0,107,0.0
14,val,40-49,0,43,0.0
14,val,50-59,0,13,0.0
14,val,60-69,0,7,0.0
14,val,70-79,0,1,0.0
15,val,0-9,4077,12659,0.3220633541353977
15,val,10-19,1182,4083,0.2894930198383541
15,val,20-29,0,335,0.0
15,val,30-39,0,107,0.0
15,val,40-49,0,43,0.0
15,val,50-59,0,13,0.0
15,val,60-69,0,7,0.0
15,val,70-79,0,1,0.0
16,val,0-9,4421,12659,0.34923769650051345
16,val,10-19,1266,4083,0.3100661278471712
16,val,20-29,0,335,0.0
16,val,30-39,0,107,0.0
16,val,40-49,0,43,0.0
16,val,50-59,0,13,0.0
16,val,60-69,0,7,0.0
16,val,70-79,0,1,0.0
17,val,0-9,4628,12659,0.36558969902835925
17,val,10-19,1431,4083,0.3504775900073475
17,val,20-29,0,335,0.0
17,val,30-39,0,107,0.0
17,val,40-49,0,43,0.0
17,val,50-59,0,13,0.0
17,val,60-69,0,7,0.0
17,val,70-79,0,1,0.0
18,val,0-9,4783,12659,0.3778339521289201
18,val,10-19,1384,4083,0.3389664462405094
18,val,20-29,0,335,0.0
18,val,30-39,0,107,0.0
18,val,40-49,0,43,0.0
18,val,50-59,0,13,0.0
18,val,60-69,0,7,0.0
18,val,70-79,0,1,0.0
19,val,0-9,5015,12659,0.39616083418911446
19,val,10-19,1519,4083,0.37203036982610826
19,val,20-29,0,335,0.0
19,val,30-39,0,107,0.0
19,val,40-49,0,43,0.0
19,val,50-59,0,13,0.0
19,val,60-69,0,7,0.0
19,val,70-79,0,1,0.0
20,val,0-9,5220,12659,0.41235484635437236
20,val,10-19,1568,4083,0.3840313494979182
20,val,20-29,0,335,0.0
20,val,30-39,0,107,0.0
20,val,40-49,0,43,0.0
20,val,50-59,0,13,0.0
20,val,60-69,0,7,0.0
20,val,70-79,0,1,0.0
21,val,0-9,5313,12659,0.4197013982147089
21,val,10-19,1644,4083,0.4026451138868479
21,val,20-29,0,335,0.0
21,val,30-39,0,107,0.0
21,val,40-49,0,43,0.0
21,val,50-59,0,13,0.0
21,val,60-69,0,7,0.0
21,val,70-79,0,1,0.0
22,val,0-9,5418,12659,0.4279958922505727
22,val,10-19,1697,4083,0.4156257653686015
22,val,20-29,0,335,0.0
22,val,30-39,0,107,0.0
22,val,40-49,0,43,0.0
22,val,50-59,0,13,0.0
22,val,60-69,0,7,0.0
22,val,70-79,0,1,0.0
23,val,0-9,5397,12659,0.4263369934433999
23,val,10-19,1749,4083,0.42836149889786923
23,val,20-29,0,335,0.0
23,val,30-39,0,107,0.0
23,val,40-49,0,43,0.0
23,val,50-59,0,13,0.0
23,val,60-69,0,7,0.0
23,val,70-79,0,1,0.0
24,val,0-9,5503,12659,0.43471048266055773
24,val,10-19,1747,4083,0.42787166299289736
24,val,20-29,0,335,0.0
24,val,30-39,0,107,0.0
24,val,40-49,0,43,0.0
24,val,50-59,0,13,0.0
24,val,60-69,0,7,0.0
24,val,70-79,0,1,0.0
25,val,0-9,5670,12659,0.44790267793664584
25,val,10-19,1819,4083,0.44550575557188343
25,val,20-29,2,335,0.005970149253731343
25,val,30-39,0,107,0.0
25,val,40-49,0,43,0.0
25,val,50-59,0,13,0.0
25,val,60-69,0,7,0.0
25,val,70-79,0,1,0.0
26,val,0-9,5651,12659,0.446401769492061
26,val,10-19,1798,4083,0.44036247856967914
26,val,20-29,1,335,0.0029850746268656717
26,val,30-39,0,107,0.0
26,val,40-49,0,43,0.0
26,val,50-59,0,13,0.0
26,val,60-69,0,7,0.0
26,val,70-79,0,1,0.0
27,val,0-9,5760,12659,0.45501224425310055
27,val,10-19,1843,4083,0.4513837864315454
27,val,20-29,1,335,0.0029850746268656717
27,val,30-39,0,107,0.0
27,val,40-49,0,43,0.0
27,val,50-59,0,13,0.0
27,val,60-69,0,7,0.0
27,val,70-79,0,1,0.0
28,val,0-9,5787,12659,0.457145114148037
28,val,10-19,1899,4083,0.4650991917707568
28,val,20-29,7,335,0.020895522388059702
28,val,30-39,0,107,0.0
28,val,40-49,0,43,0.0
